OBJECTID,INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,GEO_LON,GEO_LAT,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID,IS_CRIME,IS_TRAFFIC,VICTIM_COUNT,x,y
360428,2024249030,2024249030239900,2399,0,theft-other,larceny,5/7/2024 1:30:00 PM,,5/10/2024 10:04:00 PM,2457 N HIGH ST,0,0,-104.9650532,39.75306007,2,211,whittier,1,0,1,3150410.00000755,1699624.99997428
360429,2024250944,2024250944239900,2399,0,theft-other,larceny,5/11/2024 2:17:00 PM,,5/11/2024 2:24:00 PM,4330 E 48TH AVE,0,0,-104.93683664,39.78250849,2,221,northeast-park-hill,1,0,1,3158276.99986074,1710399.99982165
360430,20246005741,20246005741239900,2399,0,theft-other,larceny,5/8/2024 4:30:00 AM,5/8/2024 5:50:00 AM,5/8/2024 6:05:00 AM,812 S OSAGE ST,0,0,-105.00380381,39.70162959,4,412,athmar-park,1,0,1,3139617.00004977,1680829.00003244
360431,2024248808,2024248808239900,2399,0,theft-other,larceny,5/9/2024 3:20:00 PM,5/9/2024 3:25:00 PM,5/10/2024 10:42:00 AM,4984 N IRVING ST,0,0,-105.02956201,39.7871733,1,111,regis,1,0,1,3132208.00005198,1711951.0002239
360432,2024252667,2024252667239900,2399,0,theft-other,larceny,5/12/2024 12:41:00 PM,,5/12/2024 12:41:00 PM,955 S HAVANA ST,0,0,-104.8667037,39.69884634,3,321,windsor,1,0,1,3178200.00022183,1680054.99980393
360433,2024247182,2024247182239900,2399,0,theft-other,larceny,5/9/2024 12:23:00 PM,,5/9/2024 12:24:00 PM,6900 E LAYTON AVE,0,0,-104.90616374,39.62690423,3,324,southmoor-park,1,0,1,3167268.00014527,1653775.00002147
360434,2024247423,2024247423239900,2399,0,theft-other,larceny,5/9/2024 1:10:00 PM,,5/9/2024 5:06:00 PM,3205 W FLOYD AVE,0,0,-105.02892912,39.65792035,4,423,harvey-park-south,1,0,1,3132630.00002205,1664870.00019847
360435,2024247341,2024247341239900,2399,0,theft-other,larceny,5/9/2024 10:30:00 AM,5/9/2024 11:00:00 AM,5/9/2024 2:18:00 PM,1330 N ZUNI ST,0,0,-105.01526839,39.73722882,1,122,lincoln-park,1,0,1,3136322.00011557,1693778.99999185
360436,20246005755,20246005755239900,2399,0,theft-other,larceny,5/8/2024 11:50:00 AM,5/8/2024 11:50:00 AM,5/8/2024 12:11:00 PM,888 S ONEIDA ST,0,0,-104.90629309,39.70107618,3,322,washington-virginia-vale,1,0,1,3167055.00005131,1680791.99995654
360437,2024252681,2024252681239900,2399,0,theft-other,larceny,5/12/2024 12:49:00 PM,,5/12/2024 12:49:00 PM,800 BLK N FEDERAL BLVD,0,0,-105.02478326,39.72995424,1,122,sun-valley,1,0,1,3133660.00014805,1691114.99999338
360438,2024251328,2024251328239900,2399,0,theft-other,larceny,5/11/2024 2:00:00 PM,,5/11/2024 7:48:00 PM,3436 N COLUMBINE ST,0,0,-104.95686904,39.76504405,2,212,clayton,1,0,1,3152685.00006518,1704004.00007144
360439,20246005756,20246005756239900,2399,0,theft-other,larceny,5/7/2024 5:30:00 PM,5/7/2024 6:45:00 PM,5/8/2024 11:03:00 AM,2240 E BUCHTEL BLVD,0,0,-104.96178773,39.68268879,3,313,university,1,0,1,3151479.99988079,1673996.99989186
360440,2024251168,2024251168239900,2399,0,theft-other,larceny,5/11/2024 3:40:00 PM,,5/11/2024 8:30:00 PM,729 N ULSTER WAY,0,0,-104.89435878,39.72742246,3,321,lowry-field,1,0,1,3170348.99991554,1690411.00002839
360441,2024248773,2024248773239900,2399,0,theft-other,larceny,5/10/2024 9:45:00 AM,5/10/2024 9:55:00 AM,5/10/2024 10:15:00 AM,4450 E JEWELL AVE,0,0,-104.93605024,39.6816869,3,322,virginia-village,1,0,1,3158725.99995005,1673676.00006466
360442,2024247599,2024247599239900,2399,0,theft-other,larceny,5/9/2024 12:20:00 PM,,5/9/2024 4:16:00 PM,18806 E RANDOLPH PL,0,0,-104.76808376,39.7975249,5,523,gateway-green-valley-ranch,1,0,1,3205659.99977447,1716207.99983423
360443,20246005733,20246005733239900,2399,0,theft-other,larceny,5/7/2024 1:20:00 PM,5/7/2024 1:25:00 PM,5/8/2024 8:45:00 AM,14500 E 43RD AVE,0,0,-104.82554444,39.77405293,5,521,montbello,1,0,1,3189578.00001212,1707532.99996718
